,省份,城市,注册资本,公司名称,公司简称,邮箱列表,电话列表,标签
18939,河北省,保定市,1万人民币,<em>涿州</em>金培<em>教育</em>科技有限公司,金培教育,714686468@qq.com,"['17736258756', '13371739680']",河北涿州市教育
18971,河北省,保定市,30万人民币,<em>高碑店市</em>译铎文化用品有限公司,译铎,18132724363@189.cn,['13703125089'],河北高碑店市教辅
18974,河北省,保定市,200万人民币,<em>高碑店市</em>宸菲体育文化推广有限责任公司,宸菲体育,381438500@qq.com,"['13603321212', '15932285551', '13831270806', '13831270860']",河北高碑店市辅导
18979,河北省,保定市,50万人民币,保定宜霖汽车销售有限公司,宜霖汽车,tianaojie2008@163.com,['0312-2951777'],河北高碑店市考试
19010,河北省,保定市,3万人民币,<em>高碑店市</em>肆季灯火<em>图书</em>经营有限公司,肆季灯火,76015387@qq.com,['18811633889'],河北高碑店市图书
19011,河北省,保定市,有限责任公司分公司（非自然人投资或控股的法人独资）,<em>河北</em>省禄发实业集团有限公司<em>高碑店</em>服务区,禄发,122199178@qq.com,['0312-7938202'],河北高碑店市图书
19012,河北省,保定市,80万人民币,<em>高碑店</em>威光文化传媒有限公司,威光,743356347@qq.com,"['18631263920', '13473421088', '19832225250']",河北高碑店市图书
19013,河北省,保定市,40万人民币,<em>高碑店市</em>尚学托管服务有限公司,尚学托管,675711920@qq.com,['17692213865'],河北高碑店市图书
19024,河北省,保定市,10万人民币,<em>高碑店</em>观微科技有限公司,观微科技,913283972@qq.com,['18600208399'],河北高碑店市图书
19029,河北省,保定市,100万人民币,<em>高碑店市</em>华彩乐器销售有限公司,华彩乐器,1253781766@qq.com,['13231269966'],河北高碑店市音乐
19036,河北省,保定市,50万人民币,<em>高碑店市</em>玄一商贸有限公司,玄一商贸,1842011712@qq.com,['13400386844'],河北高碑店市音乐
19044,河北省,保定市,30万人民币,<em>高碑店</em>花样大术艺术培训学校有限公司,花样大术,2189564865@qq.com,"['18230125040', '13903328202', '15188685611']",河北高碑店市舞蹈
19067,河北省,保定市,30万人民币,<em>高碑店市</em>搏奥艺术<em>培训</em>学校有限公司,搏奥艺术,674856949@qq.com,"['15803123878', '18589766547']",河北高碑店市培训
19070,河北省,保定市,30万人民币,<em>高碑店</em>禾木艺术<em>培训</em>学校有限公司,禾木艺术,70737544@qq.com,['16619933470'],河北高碑店市培训
19071,河北省,保定市,30万人民币,<em>高碑店市</em>青芒果艺术<em>培训</em>学校有限公司,青芒果,xzyangjie@126.com,['13785262944'],河北高碑店市培训
19081,河北省,保定市,500万人民币,<em>高碑店</em>英才职业<em>高中</em>有限公司,英才,yingcaigz2022@163.com,['13301283407'],河北高碑店市高中
19109,河北省,保定市,27400万人民币,<em>高碑店市</em>建投<em>教育</em>综合体建设运维有限公司,建投教育,hbjtczh@163.com,['0312-5590539'],河北高碑店市教育
19111,河北省,保定市,10万人民币,<em>高碑店市</em>棒一棒糖<em>教育</em>科技有限公司,棒一棒糖,635480775@qq.com,"['15032592528', '15103222070', '18633635827']",河北高碑店市教育
19123,河北省,保定市,10万人民币,<em>高碑店</em>成才乐学<em>教育</em>科技有限公司,成才乐学,1358721546@qq.com,['13582991270'],河北高碑店市教育
19136,河北省,保定市,有限责任公司分公司(自然人投资或控股的法人独资),保定市新华<em>书店</em>有限责任公司<em>博野</em>分公司,新华书店,boyexianxhsd@163.com,"['0312-8323545', '0312-8322773']",河北博野县书店
19144,河北省,保定市,300万人民币,<em>河北</em>学网<em>图书</em>销售有限公司,学网图书,2998077731@qq.com,"['13582828087', '13582288087', '0312-8315122']",河北博野县图书
19145,河北省,保定市,100万人民币,保定科恩<em>图书</em>销售有限公司,科恩图书,752456394@qq.com,"['19331220409', '15333128718', '13930859102', '15133262915']",河北博野县图书
19145,河北省,保定市,100万人民币,保定科恩<em>图书</em>销售有限公司,科恩图书,1050661501@qq.com,"['19331220409', '15333128718', '13930859102', '15133262915']",河北博野县图书
19148,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>南小王邮政所,中国邮政,16736336@qq.com,"['13323221221', '13582200989', '0312-8326755', '0312-8322366']",河北博野县图书
19148,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>南小王邮政所,中国邮政,fyql_0989@163.com,"['13323221221', '13582200989', '0312-8326755', '0312-8322366']",河北博野县图书
19148,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>南小王邮政所,中国邮政,byxbn7717@sina.com,"['13323221221', '13582200989', '0312-8326755', '0312-8322366']",河北博野县图书
19149,河北省,保定市,有限责任公司分公司（非自然人投资或控股的法人独资）,<em>河北</em>省禄发实业集团有限公司<em>博野</em>服务区,禄发,byfwqyx@163.com,"['0312-8321029', '13582395963', '18233465432']",河北博野县图书
19150,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>小店支局,中国邮政,16736336@qq.com,"['13582200989', '0312-8326755', '0312-8369781']",河北博野县图书
19150,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>小店支局,中国邮政,fyql_0989@163.com,"['13582200989', '0312-8326755', '0312-8369781']",河北博野县图书
19150,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>小店支局,中国邮政,byxbn7717@sina.com,"['13582200989', '0312-8326755', '0312-8369781']",河北博野县图书
19151,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>大程委邮政支局,中国邮政,16736336@qq.com,"['13582200989', '0312-8326755', '0312-8322366', '0312-8387690']",河北博野县图书
19151,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>大程委邮政支局,中国邮政,fyql_0989@163.com,"['13582200989', '0312-8326755', '0312-8322366', '0312-8387690']",河北博野县图书
19151,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>大程委邮政支局,中国邮政,byxbn7717@sina.com,"['13582200989', '0312-8326755', '0312-8322366', '0312-8387690']",河北博野县图书
19152,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>北杨村邮政所,中国邮政,16736336@qq.com,"['13323221221', '13582200989', '0312-8326755', '0312-8322366']",河北博野县图书
19152,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>北杨村邮政所,中国邮政,fyql_0989@163.com,"['13323221221', '13582200989', '0312-8326755', '0312-8322366']",河北博野县图书
19152,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>北杨村邮政所,中国邮政,byxbn7717@sina.com,"['13323221221', '13582200989', '0312-8326755', '0312-8322366']",河北博野县图书
19154,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>许村邮政支局,中国邮政,16736336@qq.com,"['13582200989', '0312-8326755', '0312-8322366', '0312-8398990']",河北博野县图书
19154,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>许村邮政支局,中国邮政,fyql_0989@163.com,"['13582200989', '0312-8326755', '0312-8322366', '0312-8398990']",河北博野县图书
19154,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>许村邮政支局,中国邮政,byxbn7717@sina.com,"['13582200989', '0312-8326755', '0312-8322366', '0312-8398990']",河北博野县图书
19165,河北省,保定市,10万人民币,保定艾舞<em>舞蹈</em>健身有限公司,艾舞舞蹈,815502190@qq.com,['18331009696'],河北博野县舞蹈
19167,河北省,保定市,100万人民币,<em>博野县</em>金子轩托育服务有限公司,金子轩托,627431141@qq.com,['18630277666'],河北博野县舞蹈
19171,河北省,保定市,10万人民币,<em>博野县</em>咔乐童画<em>艺术</em>交流中心,咔乐童画,64587669@qq.com,['13833281165'],河北博野县艺术
19195,河北省,保定市,110万人民币,<em>博野县</em>金源农机服务专业合作社,金源农机,boyejinyuanqimao@163.com,"['13483250960', '15227227999', '0312-8322721']",河北博野县培训
19196,河北省,保定市,5000万人民币,<em>博野县</em>瑞博文化发展有限公司,瑞博文化,757679490@qq.com,['13730284909'],河北博野县培训
19197,河北省,保定市,5万人民币,保定市满城区卓越教育<em>培训</em>学校有限公司,卓越教育,187117700@qq.com,['13731276882'],河北博野县培训
19212,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>东墟镇邮政所,中国邮政,16736336@qq.com,"['13323221221', '13582200989', '0312-8326755', '0132-8322366', '0312-8322366', '0312-8398990']",河北博野县中学
19212,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>东墟镇邮政所,中国邮政,fyql_0989@163.com,"['13323221221', '13582200989', '0312-8326755', '0132-8322366', '0312-8322366', '0312-8398990']",河北博野县中学
19212,河北省,保定市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>河北</em>省<em>博野县</em>东墟镇邮政所,中国邮政,byxbn7717@sina.com,"['13323221221', '13582200989', '0312-8326755', '0132-8322366', '0312-8322366', '0312-8398990']",河北博野县中学
19219,河北省,保定市,有限责任公司分公司(自然人投资或控股),<em>河北</em>天宇壹零壹<em>教育</em>科技有限公司<em>博野县</em>分公司,天宇壹,675539586@qq.com,['13833202566'],河北博野县教育
19236,河北省,保定市,100万人民币,<em>博野县</em>军创文化传播有限公司,军创文化,396028340@qq.com,"['18630277666', '15933460001']",河北博野县教育
19252,广东省,佛山市,3000万人民币,广东德胜教育集团有限公司,德胜教育,596303688@qq.com,"['0757-22680808', '0757-22680888']",河北安国市教辅
19254,广东省,深圳市,5000万人民币,中安实业（深圳）集团有限公司,中安,2428853396@qq.com,"['0755-28965696', '13826592009', '18126505596']",河北安国市教辅
19254,广东省,深圳市,5000万人民币,中安实业（深圳）集团有限公司,中安,3036735498@qq.com,"['0755-28965696', '13826592009', '18126505596']",河北安国市教辅
19254,广东省,深圳市,5000万人民币,中安实业（深圳）集团有限公司,中安,229370893@qq.com,"['0755-28965696', '13826592009', '18126505596']",河北安国市教辅
19254,广东省,深圳市,5000万人民币,中安实业（深圳）集团有限公司,中安,1390341205@qq.com,"['0755-28965696', '13826592009', '18126505596']",河北安国市教辅
19255,安徽省,合肥市,1000万人民币,安徽省安策智库咨询有限公司,安策智库,ancehr@163.com,"['0551-65195568', '0551-69101005', '0551-69101327', '0551-62383017', '0551-62663295']",河北安国市教辅
19255,安徽省,合肥市,1000万人民币,安徽省安策智库咨询有限公司,安策智库,1648593071@qq.com,"['0551-65195568', '0551-69101005', '0551-69101327', '0551-62383017', '0551-62663295']",河北安国市教辅
19255,安徽省,合肥市,1000万人民币,安徽省安策智库咨询有限公司,安策智库,anceah@sina.com,"['0551-65195568', '0551-69101005', '0551-69101327', '0551-62383017', '0551-62663295']",河北安国市教辅
19256,福建省,厦门市,90000万人民币,厦门万舜文化产业投资发展有限公司,万舜,1377238188@qq.com,"['0592-6100955', '15260203722']",河北安国市教辅
19256,福建省,厦门市,90000万人民币,厦门万舜文化产业投资发展有限公司,万舜,960006167@qq.com,"['0592-6100955', '15260203722']",河北安国市教辅
19256,福建省,厦门市,90000万人民币,厦门万舜文化产业投资发展有限公司,万舜,429204839@qq.com,"['0592-6100955', '15260203722']",河北安国市教辅
19256,福建省,厦门市,90000万人民币,厦门万舜文化产业投资发展有限公司,万舜,165332408@qq.com,"['0592-6100955', '15260203722']",河北安国市教辅
19256,福建省,厦门市,90000万人民币,厦门万舜文化产业投资发展有限公司,万舜,wswhcy@sina.com,"['0592-6100955', '15260203722']",河北安国市教辅
19257,福建省,厦门市,25000万人民币,厦门海沧土地开发有限公司,海沧土地,570490305@qq.com,"['0592-6808169', '0592-6051270', '13606085887', '0592-6586257']",河北安国市教辅
19257,福建省,厦门市,25000万人民币,厦门海沧土地开发有限公司,海沧土地,87578466@qq.com,"['0592-6808169', '0592-6051270', '13606085887', '0592-6586257']",河北安国市教辅
19257,福建省,厦门市,25000万人民币,厦门海沧土地开发有限公司,海沧土地,21674164@qq.com,"['0592-6808169', '0592-6051270', '13606085887', '0592-6586257']",河北安国市教辅
19284,河北省,保定市,有限责任公司分公司（非自然人投资或控股的法人独资）,<em>河北</em>省禄发实业集团有限公司<em>安国</em>停车区,禄发,41447349@qq.com,"['0312-61880003', '0312-6188003']",河北安国市图书
19286,河北省,保定市,300万人民币,<em>河北</em>琅簪茉网络科技有限公司,琅簪茉,752633376@qq.com,"['18650038759', '17346547107']",河北安国市图书
19294,河北省,保定市,1000万人民币,<em>安国</em>信誉楼百货有限公司,信誉楼,498714624@qq.com,"['0312-5912810', '0312-5312977']",河北安国市图书
19294,河北省,保定市,1000万人民币,<em>安国</em>信誉楼百货有限公司,信誉楼,752195560@qq.com,"['0312-5912810', '0312-5312977']",河北安国市图书
19295,河北省,保定市,5000万人民币,<em>河北</em>政泰商业连锁发展有限公司,政泰商业,89547087@qq.com,"['0312-3366501', '0312-6161789', '0312-3366999']",河北安国市图书
19297,河北省,保定市,有限责任公司分公司(自然人投资或控股),<em>河北</em>政泰商业连锁发展有限公司正泰超市金融路店,政泰商业,89547087@qq.com,"['0312-6161789', '0312-3366999', '0312-3366501']",河北安国市图书
19310,河北省,保定市,300万人民币,<em>河北</em>保隶文化传媒有限公司,保隶,328737103@qq.com,['19568000770'],河北安国市音乐
19313,河北省,保定市,10万人民币,<em>安国</em>金蝈蝈文化传媒有限公司,金蝈蝈,1156636035@qq.com,['0312-3501177'],河北安国市音乐
19327,河北省,保定市,30万人民币,<em>安国</em>老调<em>艺术</em>传播有限公司,老调艺术,137376912@qq.com,"['13703369998', '0312-3521980', '15903326588', '13070508328']",河北安国市艺术
19349,河北省,保定市,30万人民币,<em>安国市</em>缤纷鸟<em>培训</em>学校有限公司,缤纷鸟,294726417@qq.com,"['13400236816', '13381123089']",河北安国市培训
19351,河北省,保定市,20万人民币,<em>安国市</em>国安机动车驾驶员<em>培训</em>学校,国安,379122279@qq.com,['13722208968'],河北安国市培训
19351,河北省,保定市,20万人民币,<em>安国市</em>国安机动车驾驶员<em>培训</em>学校,国安,513767613@qq.com,['13722208968'],河北安国市培训
19351,河北省,保定市,20万人民币,<em>安国市</em>国安机动车驾驶员<em>培训</em>学校,国安,fuxiao721@qq.com,['13722208968'],河北安国市培训
19351,河北省,保定市,20万人民币,<em>安国市</em>国安机动车驾驶员<em>培训</em>学校,国安,fuxiao721@sina.com,['13722208968'],河北安国市培训
19353,河北省,保定市,30万人民币,<em>安国市</em>格睿特<em>培训</em>学校有限公司,格睿特,agqh2007@163.com,['13191664886'],河北安国市培训
19355,河北省,保定市,30万人民币,<em>安国市</em>鸿鹄<em>培训</em>学校有限公司,鸿鹄培训,422461109@qq.com,"['15033832223', '13032066199']",河北安国市培训
19403,河北省,保定市,100万人民币,<em>安国市</em>士云<em>教育</em>咨询有限公司,士云教育,385067604@qq.com,['0312-3456758'],河北安国市教育
19417,河北省,保定市,30万人民币,<em>安国</em>睿智<em>教育</em>科技有限公司,睿智教育,154753640@qq.com,['15033710976'],河北安国市教育
19418,河北省,保定市,20万人民币,<em>安国市</em>智天佳<em>教育</em>科技有限公司,智天佳,872856399@qq.com,"['15533237580', '15533216156']",河北安国市教育
19434,河北省,保定市,50万人民币,保定市福禄贝尔教育咨询有限公司,福禄贝尔,1299161260@qq.com,['15303328753'],河北徐水区辅导
19455,河北省,保定市,1000万人民币,<em>河北</em>双隆百信商贸有限公司,双隆百信,1592236830@qq.com,"['0312-8750628', '0132-8750628']",河北徐水区图书
19455,河北省,保定市,1000万人民币,<em>河北</em>双隆百信商贸有限公司,双隆百信,slss88@126.com,"['0312-8750628', '0132-8750628']",河北徐水区图书
19481,河北省,保定市,30万人民币,保定市<em>徐水区</em>沐花田艺术培训学校有限公司,沐花田,1069858054@qq.com,['13831276466'],河北徐水区音乐
19510,河北省,保定市,30万人民币,保定市<em>徐水区</em>樱田<em>艺术</em>培训学校有限公司,樱田艺术,362092015@qq.com,"['15030215186', '13643228428']",河北徐水区艺术
19520,河北省,保定市,30万人民币,保定市<em>徐水区</em>七小福文化艺术<em>培训</em>学校有限公司,七小福,823671935@qq.com,"['18931262861', '15932184801']",河北徐水区培训
19521,河北省,保定市,150万人民币,保定市<em>徐水区</em>顺通驾驶员<em>培训</em>学校,顺通,15931237222@sina.com,"['15733259888', '18631217303', '15931237222', '15830259966']",河北徐水区培训
19521,河北省,保定市,150万人民币,保定市<em>徐水区</em>顺通驾驶员<em>培训</em>学校,顺通,15931237222@sina.cn,"['15733259888', '18631217303', '15931237222', '15830259966']",河北徐水区培训
19531,河南省,郑州市,1200万人民币,河南神通人力资源有限公司,神通,yxhzzfgs@163.com,"['18903717393', '18903817393', '18896832888']",河北徐水区中专
19531,河南省,郑州市,1200万人民币,河南神通人力资源有限公司,神通,18903717393@163.com,"['18903717393', '18903817393', '18896832888']",河北徐水区中专
19531,河南省,郑州市,1200万人民币,河南神通人力资源有限公司,神通,18896832888@163.com,"['18903717393', '18903817393', '18896832888']",河北徐水区中专
19532,河北省,保定市,5000万人民币,保定市维普医院管理有限公司,维普医院,weipu168@163.com,"['0312-5852102', '0312-5852118', '0312-5852108']",河北徐水区高中
19564,河北省,保定市,300万人民币,<em>河北</em>铠盛<em>教育</em>科技有限公司,铠盛教育,xingchuanenglish@126.com,['13111605000'],河北徐水区教育
19568,河北省,保定市,200万人民币,<em>河北</em>省昌旭<em>教育</em>基金会,昌旭教育,xsxjyjzzzx@126.com,"['18632200028', '0312-8567822', '18932669656']",河北徐水区教育
19615,河北省,保定市,50万人民币,保定市<em>莲池区</em>新东方培训学校有限公司,新东方,lichangwei@xdf.cn,['0312-3172515'],河北莲池区辅导
19618,河北省,保定市,1000万人民币,<em>河北</em>慕学教育科技有限公司,慕学教育,1399435130@qq.com,"['15531285305', '19303225839']",河北莲池区辅导
19620,河北省,保定市,300万人民币,<em>河北</em>精勤智课教育科技有限公司,精勤智课,jchz13@163.com,[],河北莲池区辅导
19622,河北省,保定市,300万人民币,京东智能城市（<em>河北</em>）数字经济有限公司,智能城市,jdd-qa@jd.com,['13811569475'],河北莲池区辅导
19636,河北省,保定市,1万人民币,保定博语翻译服务有限公司,博语翻译,891988850@qq.com,['15231200911'],河北莲池区考试
19674,河北省,保定市,500万人民币,保定市大千<em>图书</em>销售有限公司,大千图书,942576062@qq.com,['13933219939'],河北莲池区图书
19677,河北省,保定市,50万人民币,保定硕学通儒<em>图书</em>销售有限公司,硕学通儒,fulaohuoguo0403@126.com,"['13730207168', '13930222397', '0312-5062309', '15227227739', '13722223316']",河北莲池区图书
19723,河北省,保定市,20万人民币,保定市<em>莲池区</em>三尚<em>艺术</em>培训学校有限公司,三尚艺术,1510415641@qq.com,"['15612251880', '18131230302', '13021193555', '13201193555', '18633224965']",河北莲池区艺术
19725,河北省,保定市,30万人民币,保定市<em>莲池区</em>航航<em>艺术</em>培训学校有限公司,航航艺术,47208159@qq.com,['13831212017'],河北莲池区艺术
19735,河北省,保定市,20万人民币,保定市<em>莲池区</em>蓝精灵<em>艺术</em>培训学校有限公司,蓝精灵,594909411@qq.com,['13331213559'],河北莲池区艺术
19741,河北省,保定市,30万人民币,保定市<em>莲池区</em>琛恒艺术<em>培训</em>学校有限责任公司,琛恒艺术,494579249@qq.com,"['18713238817', '13383222308']",河北莲池区培训
19741,河北省,保定市,30万人民币,保定市<em>莲池区</em>琛恒艺术<em>培训</em>学校有限责任公司,琛恒艺术,1106460695@qq.com,"['18713238817', '13383222308']",河北莲池区培训
19748,河北省,保定市,467.5万人民币,保定国贺糖酒销售有限公司,国贺糖酒,dytjgs@163.com,['0312-2018772'],河北莲池区中专
19752,河北省,保定市,其他有限责任公司分公司,<em>河北</em>保定槐茂有限公司永华中路专营店,槐茂,243593285@qq.com,['0312-2017424'],河北莲池区中专
19765,河北省,保定市,500万人民币,保定市英华高级<em>中学</em>有限公司,英华,bd17yh@163.com,['15633288668'],河北莲池区中学
19785,河北省,保定市,300万人民币,<em>河北</em>飞鸿<em>教育</em>培训学院有限公司,飞鸿教育,205483363@qq.com,"['13933015108', '13028652416', '18931850115']",河北莲池区教育
19788,河北省,保定市,20万人民币,保定市<em>莲池区</em>北华<em>教育</em>培训学校有限公司,北华教育,1510415641@qq.com,"['18134120029', '18131230302', '13603244009']",河北莲池区教育
19790,河北省,保定市,100万人民币,保定市<em>莲池区</em>智谷<em>教育</em>培训学校有限公司,智谷教育,514390716@qq.com,['13582266042'],河北莲池区教育
19792,河北省,保定市,70万人民币,保定市<em>莲池区</em>学大<em>教育</em>培训学校有限公司,学大教育,songysjz@xueda.com,['0312-5901315'],河北莲池区教育
19793,河北省,保定市,30万人民币,保定市<em>莲池区</em>宽高<em>教育</em>培训学校有限公司,宽高教育,bdkgfd@163.com,"['13563914329', '15933481888']",河北莲池区教育
19800,河北省,保定市,20万人民币,保定市<em>莲池区</em>学冠奇绩<em>教育</em>培训学校有限公司,学冠奇绩,501879177@qq.com,"['18333220156', '18031280025']",河北莲池区教育
19838,河北省,保定市,300万人民币,翼成（<em>河北</em>）教育科技有限公司,翼成教育,jixiangkun@zyxdedu.com,"['17732238341', '0312-7925925', '18931245789', '18931246789']",河北竞秀区辅导
19850,河北省,保定市,300万人民币,<em>河北</em>青度教育科技有限公司,青度教育,876360933@qq.com,['18833278654'],河北竞秀区辅导
19851,河北省,保定市,100万人民币,保定蓝典极岸专业设计股份有限公司,蓝典极岸,ldjasj@126.com,"['0312-3331583', '15133296668', '18244529322']",河北竞秀区辅导
19852,河北省,保定市,100万人民币,保定科源惠德测控技术有限公司,科源惠德,672598101@qq.com,"['13082367912', '13393327503', '13831205369']",河北竞秀区辅导
19853,河北省,保定市,有限责任公司分公司(自然人独资),北京昱启企业管理有限公司保定分公司,昱启企业,1012376494@qq.com,"['19333128108', '15612284918']",河北竞秀区辅导
19853,河北省,保定市,有限责任公司分公司(自然人独资),北京昱启企业管理有限公司保定分公司,昱启企业,1022616213@qq.com,"['19333128108', '15612284918']",河北竞秀区辅导
19867,河北省,保定市,100万人民币,保定渺策网络科技有限公司,渺策,1125210041@qq.com,"['15033755790', '15188656533']",河北竞秀区考试
19868,河北省,保定市,200万人民币,保定企融人力资源服务有限公司,企融,33453068@qq.com,"['0312-3133757', '18631229289']",河北竞秀区考试
19896,河北省,保定市,10000万人民币,<em>河北</em>广电网络集团保定有限公司,广电网络,bdgdwl@vip.163.com,['0312-3311633'],河北竞秀区图书
19900,河北省,保定市,2560.9756万人民币,叮当智慧药房（<em>河北</em>）有限公司,叮当智慧,534749070@qq.com,"['0312-2033008', '18331261065', '18003328019']",河北竞秀区图书
19900,河北省,保定市,2560.9756万人民币,叮当智慧药房（<em>河北</em>）有限公司,叮当智慧,2284811728@qq.com,"['0312-2033008', '18331261065', '18003328019']",河北竞秀区图书
19902,河北省,保定市,100万人民币,保定名题<em>图书</em>销售有限公司,名题图书,1848430125@qq.com,"['18931397220', '17325521720', '13833046536', '0312-8315799']",河北竞秀区图书
19905,河北省,保定市,600万人民币,保定博学苑<em>图书</em>销售有限公司,博学苑,lichunxian999@163.com,['13513228979'],河北竞秀区图书
19906,河北省,保定市,1000万人民币,<em>河北</em>云在信息技术服务有限公司,云在,1535975668@qq.com,"['0312-3028661', '0312-3028660', '0312-6780083', '13582266042']",河北竞秀区图书
19906,河北省,保定市,1000万人民币,<em>河北</em>云在信息技术服务有限公司,云在,514390716@qq.com,"['0312-3028661', '0312-3028660', '0312-6780083', '13582266042']",河北竞秀区图书
19915,河北省,保定市,11946.33万美元,<em>河北</em>雄安木棉花酒店管理有限公司,雄安,wpcw@hotel-kapok.com,['0312-5968899'],河北竞秀区音乐
19916,河北省,保定市,300万人民币,猪立业数字传媒科技（<em>河北</em>）有限公司,猪立业,zhangdifei05@163.com,['0312-3070333'],河北竞秀区音乐
19916,河北省,保定市,300万人民币,猪立业数字传媒科技（<em>河北</em>）有限公司,猪立业,jqsm001@163.com,['0312-3070333'],河北竞秀区音乐
19917,河北省,保定市,3万人民币,保定市吉臣<em>音乐</em>文化传播有限公司,吉臣音乐,1510415641@qq.com,"['18131230302', '13582231105']",河北竞秀区音乐
19917,河北省,保定市,3万人民币,保定市吉臣<em>音乐</em>文化传播有限公司,吉臣音乐,9964176@qq.com,"['18131230302', '13582231105']",河北竞秀区音乐
19935,河北省,保定市,300万人民币,<em>河北</em>爱之屋餐饮管理有限公司,爱之屋,1057327513@qq.com,['0312-3316155'],河北竞秀区舞蹈
19940,河北省,保定市,300万人民币,<em>河北</em>壹玖伍捌文化<em>艺术</em>咨询服务有限公司,壹玖伍捌,1044435504@qq.com,['0312-3012381'],河北竞秀区艺术
19948,河北省,保定市,100万人民币,保定市<em>竞秀区</em>英皇文化<em>艺术</em>培训学校有限公司,英皇文化,157172096@qq.com,"['18631218110', '13256987489']",河北竞秀区艺术
19964,河北省,保定市,30万人民币,保定市<em>竞秀区</em>梦荷美术<em>培训</em>学校有限公司,梦荷美术,401939360@qq.com,"['0312-3215858', '15531288865', '18603123333']",河北竞秀区培训
19976,河北省,保定市,50万人民币,中科专注（保定）科技有限公司,专注科技,937493013@qq.com,['18231290236'],河北竞秀区中专
19982,河北省,保定市,1000万人民币,保定数字经济职业高级<em>中学</em>有限公司,数字经济,375173821@qq.com,['18031285566'],河北竞秀区中学
19995,河北省,保定市,有限责任公司分公司(国有控股),<em>河北</em>省新华书店有限责任公司保定仓储中心,新华书店,335278726@qq.com,"['0312-8950870', '13933896431', '13932205186', '0312-3192035', '0312-5901206']",河北竞秀区中学
19995,河北省,保定市,有限责任公司分公司(国有控股),<em>河北</em>省新华书店有限责任公司保定仓储中心,新华书店,saragucci@163.com,"['0312-8950870', '13933896431', '13932205186', '0312-3192035', '0312-5901206']",河北竞秀区中学
19995,河北省,保定市,有限责任公司分公司(国有控股),<em>河北</em>省新华书店有限责任公司保定仓储中心,新华书店,597555052@qq.com,"['0312-8950870', '13933896431', '13932205186', '0312-3192035', '0312-5901206']",河北竞秀区中学
20002,河北省,保定市,300万人民币,<em>河北</em>师图<em>教育</em>咨询有限公司,师图教育,960871990@qq.com,"['15127287750', '13722221229']",河北竞秀区教育
20017,河北省,保定市,300万人民币,知行研学<em>河北教育</em>科技有限公司,知行研学,939069301@qq.com,['13931203270'],河北竞秀区教育
20074,河北省,保定市,30万人民币,<em>雄县</em>墨韵商贸有限公司,墨韵商贸,1464970795@qq.com,"['19933395469', '18646535353', '15632635960']",河北雄县图书
20081,河北省,保定市,有限责任公司分公司（非自然人投资或控股的法人独资）,<em>河北</em>高速燕赵驿行集团有限公司<em>雄县</em>停车区西加油站,高速燕赵,1349683989@qq.com,"['18931299333', '0312-8751190']",河北雄县图书
20082,河北省,保定市,20万人民币,<em>雄县</em>亿信<em>图书</em>销售有限公司,亿信图书,1918062972@qq.com,"['13898373572', '13889373572']",河北雄县图书
20083,河北省,保定市,168万人民币,<em>雄县</em>汇都购物广场有限公司,汇都,61683154@qq.com,"['0312-5766777', '13522258606']",河北雄县图书
20084,河北省,保定市,1000万人民币,<em>河北</em>雄安未来已来科技孵化器有限公司,雄安未来,1012378641@qq.com,"['18031186040', '15833990230', '18631125666']",河北雄县图书
20085,河北省,保定市,1万人民币,<em>雄县</em>金板凳文化传媒有限公司,金板凳,guoyouping@kangdi.cn,"['13503120633', '18631278266']",河北雄县图书
